Cod_setor;Situacao_setor;V001;V002;V003;V004;V005;V006;V007;V008;V009;V010;V011;V012;V013;V014;
530010805140009;1;0;454333;454333;0;0;1;5;24;32;20;15;14;2;5;
530010805140010;8;0;221120;221120;0;0;0;7;23;21;4;7;6;0;1;
530010805140011;1;0;1180804;1180804;0;0;0;6;18;53;40;41;30;9;1;
530010805140012;1;0;490706;490706;0;0;0;5;32;46;21;27;13;5;4;
530010805140013;1;0;426698;426698;0;0;2;17;31;43;28;24;11;3;10;
530010805140014;1;0;617743;617743;0;0;0;2;11;20;17;28;22;8;0;
530010805140015;1;2;882483;880223;2260;0;0;5;19;52;40;42;28;9;1;
530010805140016;1;0;1339809;1339809;0;0;0;0;5;24;23;43;44;18;1;
530010805140017;1;0;465841;465841;0;0;0;5;27;35;17;23;13;1;1;
530010805140018;1;0;919883;919883;0;0;1;3;17;38;21;32;27;12;2;
530010805140019;1;0;1705800;1705800;0;0;3;8;14;25;10;36;44;28;3;
530010805140020;1;0;884002;884002;0;0;1;15;31;36;30;39;19;6;6;
530010805140021;1;0;1208727;1208727;0;0;4;1;22;62;44;45;41;8;5;
530010805140022;1;0;423152;423152;0;0;0;3;20;27;22;26;20;6;3;
530010805140023;1;0;898914;898914;0;0;0;11;31;62;26;56;50;10;2;
530010805140024;1;0;993637;993637;0;0;2;11;35;42;33;32;33;5;2;
530010805140025;1;0;1033634;1033634;0;0;1;7;29;46;23;33;26;10;3;
530010805140026;1;0;937611;937611;0;1;2;9;30;27;10;16;19;9;5;
530010805140027;1;0;890767;890767;0;1;23;84;168;95;32;17;10;2;6;
530010805140028;8;0;515599;515599;0;0;8;23;56;72;20;19;5;2;0;
530010805140029;8;0;14471;14471;0;0;0;1;3;5;0;0;0;0;0;
530010805140030;1;0;2449550;2449550;0;0;1;3;4;6;9;19;58;48;1;
530010805140031;1;0;3760163;3760163;0;0;1;5;8;17;17;36;90;88;3;
530010805140032;1;0;1338680;1338680;0;0;0;2;7;8;9;24;38;21;0;
530010805140033;1;0;2872174;2872174;0;0;2;5;16;9;14;39;78;49;0;
530010805140034;1;0;1968424;1968424;0;0;0;0;4;13;3;9;30;44;0;
530010805140035;4;0;643819;643819;0;3;7;54;97;80;20;14;10;2;2;
530010805140036;8;2;284653;283143;1510;1;23;60;96;28;3;7;1;0;0;
530010805140037;1;0;2246082;2246082;0;0;0;5;10;6;8;16;43;38;0;
530010805140038;1;0;5353715;5353715;0;0;2;4;6;12;11;33;90;126;13;
530010805140039;1;0;3531842;3531842;0;0;2;11;10;16;12;31;88;72;0;
530010805140040;1;0;4924108;4924108;0;0;4;9;27;24;18;50;122;101;11;
530010805140041;1;0;1594562;1594562;0;0;0;3;8;10;7;16;47;25;7;
530010805140042;1;0;1415203;1415203;0;1;1;4;18;17;12;22;44;21;0;
530010805140043;1;0;1167436;1167436;0;0;0;2;16;26;11;45;38;12;0;
530010805140044;1;0;551656;551656;0;0;1;6;31;42;24;21;20;7;6;
530010805140045;1;0;318989;318989;0;0;0;5;14;38;27;21;16;6;7;
530010805140046;1;0;956018;956018;0;0;1;5;19;35;20;25;31;15;15;
530010805140047;1;0;953321;953321;0;0;2;10;15;22;26;26;36;13;1;
530010805140048;1;0;593980;593980;0;0;0;5;13;39;22;30;30;1;1;
530010805140049;1;0;556798;556798;0;0;1;5;16;49;28;37;20;8;2;
530010805140050;1;0;629528;629528;0;0;1;6;30;49;33;20;24;9;5;
530010805140051;1;0;923157;923157;0;0;3;16;53;50;27;36;24;4;2;
530010805140052;1;0;1589324;1589324;0;1;2;16;41;47;41;38;37;20;7;
530010805140053;4;0;140547;140547;0;0;0;5;7;12;2;5;5;1;0;
530010805140054;1;0;873563;873563;0;0;0;10;31;41;19;26;28;7;1;
530010805140055;1;1;423120;421620;1500;0;3;21;92;76;22;12;6;0;3;
530010805140056;1;0;3883803;3883803;0;0;2;9;30;35;23;52;86;69;5;
530010805140057;1;0;552718;552718;0;0;3;19;65;87;39;19;10;3;6;
530010805140058;1;0;368275;368275;0;0;0;5;12;41;28;16;15;3;1;
530010805140059;8;0;34114;34114;0;0;0;0;6;2;3;0;1;0;0;
530010805140061;1;0;1173109;1173109;0;0;3;6;29;46;32;32;31;14;0;
530010805140062;1;0;594050;594050;0;1;0;2;4;6;6;8;18;8;1;
530010805140063;1;0;2020137;2020137;0;0;1;8;16;6;11;29;41;42;2;
530010805140064;1;0;3095468;3095468;0;1;0;8;14;15;12;22;71;71;7;
530010805140065;1;0;2578245;2578245;0;0;1;3;6;10;16;49;63;47;4;
530010805140066;1;0;2591730;2591730;0;0;1;7;8;9;12;12;62;54;0;
530010805140067;8;0;235998;235998;0;0;3;10;16;16;4;3;7;3;4;
530010805140068;1;0;1964400;1964400;0;0;1;0;5;4;8;36;38;52;0;
530010805140069;1;0;3157022;3157022;0;0;0;4;13;14;14;28;70;68;1;
530010805140070;1;0;2423830;2423830;0;0;1;0;6;7;3;19;72;41;0;
530010805140071;1;0;1647213;1647213;0;0;0;4;4;9;15;13;49;27;1;
530010805140072;1;0;1620488;1620488;0;1;1;14;13;20;16;32;43;30;6;
530010805140073;1;0;2435765;2435765;0;0;0;2;10;7;7;25;31;54;1;
530010805150001;1;0;428456;428456;0;0;2;12;41;38;25;16;8;1;6;
530010805150002;1;0;465805;465805;0;0;2;19;50;80;26;15;6;0;3;
530010805150003;1;0;489360;489360;0;1;7;24;53;60;18;18;13;1;17;
530010805150004;1;0;374044;374044;0;0;7;35;55;37;13;6;7;1;4;
530010805150005;1;0;488078;488078;0;0;6;30;88;66;15;14;4;4;15;
530010805150006;1;0;556899;556899;0;0;4;23;75;68;25;16;5;3;0;
530010805150007;1;0;439360;439360;0;0;1;21;50;44;20;17;5;2;1;
530010805150008;1;0;503921;503921;0;1;0;12;41;44;17;15;5;6;4;
530010805150009;1;2;344092;342272;1820;0;8;27;54;39;14;19;2;0;7;
530010805150010;1;0;715788;715788;0;1;5;26;80;84;23;16;12;5;6;
530010805150011;1;0;542653;542653;0;0;3;16;49;56;22;18;5;1;2;
530010805150012;1;0;371601;371601;0;0;5;14;28;37;11;12;6;1;2;
530010805150013;1;0;640123;640123;0;0;5;23;70;80;24;16;9;0;1;
530010805150014;1;1;420902;420902;0;1;3;28;59;56;26;10;3;0;17;
530010805150015;1;0;655659;655659;0;0;10;23;68;70;23;22;13;1;5;
530010805150016;1;0;411239;411239;0;0;7;15;45;43;25;12;8;1;1;
530010805150017;1;0;535882;535882;0;2;9;38;83;80;21;9;7;0;5;
530010805150018;1;0;650230;650230;0;1;5;22;74;90;35;22;9;1;2;
530010805150019;1;0;437939;437939;0;0;2;30;51;56;22;9;5;1;8;
530010805150020;1;0;454759;454759;0;4;6;35;74;63;23;13;3;1;8;
530010805150021;1;0;456067;456067;0;3;10;24;85;70;17;15;1;0;10;
530010805150022;1;1;546066;540766;5300;0;9;53;97;56;17;9;6;1;2;
530010805150023;1;0;574117;574117;0;1;13;44;89;82;24;9;6;2;4;
530010805150024;1;0;390034;390034;0;1;4;26;66;48;18;11;2;0;2;
530010805150025;1;0;463438;463438;0;0;3;19;71;53;23;19;1;1;3;
530010805150026;1;0;560789;560789;0;0;5;29;64;76;23;16;5;0;3;
530010805150027;1;0;470175;470175;0;0;4;22;59;62;23;15;3;1;3;
