Cod_setor;Situacao_setor;V001;V002;V003;V004;V005;V006;V007;V008;V009;V010;V011;V012;V013;V014;V015;V016;V017;V018;V019;V020;V021;V022;V023;V024;V025;V026;V027;V028;V029;V030;V031;V032;V033;V034;V035;V036;V037;V038;V039;V040;V041;V042;V043;V044;V045;V046;V047;V048;V049;V050;V051;V052;V053;V054;V055;V056;V057;V058;V059;V060;V061;V062;V063;V064;V065;V066;V067;V068;V069;V070;V071;V072;V073;V074;V075;V076;V077;V078;V079;V080;V081;V082;V083;V084;V085;V086;V087;V088;V089;V090;V091;V092;V093;V094;V095;V096;V097;V098;V099;V100;V101;V102;V103;V104;V105;V106;V107;V108
530010805150090;1;92;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;0;1;1;1;0;1;1;5;2;6;2;3;2;2;3;3;1;0;0;2;1;5;0;2;3;2;1;3;0;3;0;2;4;0;5;2;0;2;2;1;0;0;2;2;3;2;0;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;83;0;0;4;3;15;11;6;10;8;9;7;6;3;1;0
530010805150091;1;74;0;0;0;0;1;0;0;0;1;0;3;1;2;0;0;2;2;0;1;2;0;1;3;0;1;1;5;4;3;1;2;4;0;2;1;4;0;1;2;0;0;0;1;1;0;0;0;1;0;1;4;0;1;2;1;1;4;1;1;1;2;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;70;1;1;6;7;5;14;9;6;2;2;8;6;2;1;0
530010805150092;1;70;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;2;2;3;2;1;1;0;0;1;2;1;2;2;0;0;2;3;0;1;2;1;3;1;0;0;1;0;2;1;0;1;3;4;2;0;1;2;3;1;0;0;1;0;0;0;0;0;0;3;4;1;0;1;3;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;62;0;0;1;10;4;5;8;5;4;9;6;1;5;2;2
530010805150093;1;77;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;1;0;1;2;2;2;2;1;2;4;3;4;3;0;0;1;3;0;2;2;2;3;1;0;0;0;0;0;0;0;1;1;2;0;1;2;3;2;1;1;2;5;0;2;0;2;1;1;0;0;0;1;0;0;0;2;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;70;0;1;2;6;11;10;8;6;0;4;7;8;3;0;4
530010805150094;1;65;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;1;1;1;1;1;0;0;3;0;3;2;1;0;0;0;1;3;3;2;3;0;2;2;0;0;2;2;1;2;1;0;0;3;3;2;1;2;0;3;3;1;1;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;58;0;0;4;4;5;6;6;9;5;6;7;4;1;1;0
530010805150095;1;83;0;0;0;0;0;0;0;0;1;0;1;1;3;1;0;4;0;2;0;1;4;2;1;2;0;1;5;3;1;3;1;6;2;4;1;1;3;1;0;2;1;2;0;1;0;1;1;1;2;0;1;2;1;3;0;1;0;1;1;0;1;0;0;0;0;1;3;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;75;0;1;6;7;9;13;14;6;4;4;5;2;1;3;0
530010805150096;1;74;0;0;0;0;0;0;0;0;0;1;2;0;0;1;0;2;2;3;5;2;0;2;0;0;4;5;2;2;2;0;2;4;0;1;3;2;0;1;1;2;0;0;0;3;3;1;0;1;4;0;1;1;0;1;1;2;0;1;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;73;0;1;3;14;6;11;10;6;6;6;4;3;0;2;1
530010805150097;1;56;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;2;1;0;1;1;2;2;0;1;1;1;4;1;4;2;1;1;2;0;1;3;0;1;1;0;2;0;0;0;1;1;1;1;3;1;0;1;1;0;0;0;1;0;2;1;1;1;0;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;52;0;0;0;4;6;8;9;5;3;4;6;1;3;1;2
530010805150098;1;109;0;0;0;0;0;0;0;0;1;0;0;0;1;2;1;1;1;0;1;2;3;3;3;3;4;6;2;1;3;4;1;5;2;4;1;3;1;1;0;1;2;0;3;2;2;0;0;2;2;4;1;2;1;2;1;4;2;0;1;1;2;2;3;0;3;0;1;0;1;0;1;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;100;0;1;4;5;16;16;13;6;9;7;5;7;8;0;3
530010805150099;1;50;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;0;1;2;1;2;3;1;0;3;2;1;3;0;1;2;0;1;0;1;0;1;1;0;0;0;1;1;0;2;0;0;0;0;2;2;1;1;1;0;1;1;1;1;0;0;3;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;46;0;0;1;5;6;9;4;3;2;2;6;3;3;1;1
